CO2,p,T,H2O,Points:0,Points:1,Points:2,H2O
0.956522,1.00E+07,353.75,0.043478,0,0.0002,0.0084277,0.00073302
0.85355,1.00E+07,353.7,0.14645,0,0.0002,0.0086957,0.00073225
0.853908,1.00E+07,353.66,0.146092,0,0.0002,0.0089654,0.00073046
0.854152,1.00E+07,353.63,0.145848,0,0.0002,0.0092366,0.00072924
0.854572,1.00E+07,353.58,0.145428,0,0.0002,0.0095096,0.00072714
0.855518,1.00E+07,353.75,0.144482,0,0.0002,0.0081613,0.00072241
0.856454,1.00E+07,353.48,0.143546,0,0.0002,0.0097841,0.00071773
0.86064,1.00E+07,353.66,0.13936,0,0.0002,0.0078965,0.0006968
0.860902,1.00E+07,353.34,0.139098,0,0.0002,0.01006,0.00069549
0.865828,1.00E+07,353.54,0.134172,0,0.0002,0.0076333,0.00067086
0.87028,1.00E+07,353.43,0.12972,0,0.0002,0.0073717,0.0006486
0.871674,1.00E+07,353.08,0.128326,0,0.0002,0.010338,0.00064163
0.874992,1.00E+07,353.32,0.125008,0,0.0002,0.0071117,0.00062504
0.880142,1.00E+07,353.2,0.119858,0,0.0002,0.0068533,0.00059929
0.880574,1.00E+07,353.11,0.119426,0,-0.0002,0.0097841,0.00059713
0.881002,1.00E+07,353.09,0.118998,0,-0.0002,0.01006,0.00059499
0.881834,1.00E+07,353.1,0.118166,0,-0.0002,0.0095096,0.00059083
0.884076,1.00E+07,353.02,0.115924,0,-0.0002,0.010338,0.00057962
0.88409,1.00E+07,353.07,0.11591,0,-0.0002,0.0092366,0.00057955
0.885248,1.00E+07,353.09,0.114752,0,0.0002,0.0065964,0.00057376
0.886236,1.00E+07,353.02,0.113764,0,-0.0002,0.0089654,0.00056882
0.886428,1.00E+07,352.87,0.113572,0,-0.0002,0.0060872,0.00056786
0.88709,1.00E+07,352.8,0.11291,0,-0.0002,0.005835,0.00056455
0.887506,1.00E+07,352.77,0.112494,0,0.0002,0.010618,0.00056247
0.888396,1.00E+07,352.83,0.111604,0,-0.0002,0.006341,0.00055802
0.888776,1.00E+07,352.96,0.111224,0,-0.0002,0.0086957,0.00055612
0.889008,1.00E+07,352.93,0.110992,0,-0.0002,0.010618,0.00055496
0.889948,1.00E+07,352.99,0.110052,0,0.0002,0.006341,0.00055026
0.891236,1.00E+07,352.9,0.108764,0,-0.0002,0.0084277,0.00054382
0.892036,1.00E+07,352.63,0.107964,0,-0.0002,0.0055842,0.00053982
0.892414,1.00E+07,352.71,0.107586,0,-0.0002,0.0065964,0.00053793
0.89305,1.00E+07,352.84,0.10695,0,-0.0002,0.010899,0.00053475
0.893604,1.00E+07,352.82,0.106396,0,-0.0002,0.0081613,0.00053198
0.894672,1.00E+07,352.85,0.105328,0,0.0002,0.0060872,0.00052664
0.895818,1.00E+07,352.76,0.104182,0,-0.0002,0.011182,0.00052091
0.896488,1.00E+07,352.72,0.103512,0,-0.0002,0.0078965,0.00051756
0.896788,1.00E+07,352.61,0.103212,0,-0.0002,0.0068533,0.00051606
0.898552,1.00E+07,352.63,0.101448,0,-0.0002,0.011467,0.00050724
0.898618,1.00E+07,352.64,0.101382,0,-0.0002,0.0076333,0.00050691
0.899316,1.00E+07,352.65,0.100684,0,0.0002,0.005835,0.00050342
0.899346,1.00E+07,352.57,0.100654,0,-0.0002,0.0071117,0.00050327
0.89965,1.00E+07,352.59,0.10035,0,-0.0002,0.0073717,0.00050175
0.899852,1.00E+07,352.54,0.100148,0,0.0002,0.010899,0.00050074
0.900348,1.00E+07,352.43,0.099652,0,-0.0002,0.005335,0.00049826
0.903266,1.00E+07,352.49,0.096734,0,-0.0002,0.011753,0.00048367
0.90451,1.00E+07,352.44,0.09549,0,0.0002,0.0055842,0.00047745
0.905716,1.00E+07,352.44,0.094284,0,0.0002,0.011182,0.00047142
0.907784,1.00E+07,352.27,0.092216,0,-0.0002,0.0050873,0.00046108
0.90818,1.00E+07,352.34,0.09182,0,0.0002,0.011467,0.0004591
0.90999,1.00E+07,352.39,0.09001,0,-0.0002,0.012042,0.00045005
0.910258,1.00E+07,352.28,0.089742,0,0.0002,0.005335,0.00044871
0.910896,1.00E+07,352.27,0.089104,0,0.0002,0.011753,0.00044552
0.91286,1.00E+07,352.46,0.08714,0,0.0006,0.0081613,0.0004357
0.913256,1.00E+07,352.11,0.086744,0,-0.0002,0.004841,0.00043372
0.913304,1.00E+07,352.51,0.086696,0,0.0006,0.0078965,0.00043348
0.914358,1.00E+07,352.36,0.085642,0,0.0006,0.0084277,0.00042821
0.914818,1.00E+07,352.51,0.085182,0,0.0006,0.0076333,0.00042591
0.91505,1.00E+07,352.25,0.08495,0,0.0002,0.012042,0.00042475
0.915158,1.00E+07,352.16,0.084842,0,0.0002,0.0050873,0.00042421
0.91544,1.00E+07,352.24,0.08456,0,-0.0002,0.012332,0.0004228
0.917078,1.00E+07,352.48,0.082922,0,0.0006,0.0073717,0.00041461
0.917078,1.00E+07,352.25,0.082922,0,0.0006,0.0086957,0.00041461
0.918036,1.00E+07,351.96,0.081964,0,-0.0002,0.0045963,0.00040982
0.918316,1.00E+07,352.17,0.081684,0,0.0002,0.012332,0.00040842
0.919068,1.00E+07,352.17,0.080932,0,0.0006,0.0089654,0.00040466
0.919782,1.00E+07,352.02,0.080218,0,0.0002,0.004841,0.00040109
0.920118,1.00E+07,351.91,0.079882,0,-0.0002,0.012623,0.00039941
0.920244,1.00E+07,352.11,0.079756,0,0.0006,0.0092366,0.00039878
0.92053,1.00E+07,352.42,0.07947,0,0.0006,0.0071117,0.00039735
0.921294,1.00E+07,351.82,0.078706,0,-0.0002,0.004353,0.00039353
0.921348,1.00E+07,351.88,0.078652,0,0.0002,0.012623,0.00039326
0.9225,1.00E+07,352.03,0.0775,0,0.0006,0.0095096,0.0003875
0.923306,1.00E+07,351.67,0.076694,0,-0.0002,0.0041112,0.00038347
0.924324,1.00E+07,351.86,0.075676,0,0.0002,0.0045963,0.00037838
0.925064,1.00E+07,352.33,0.074936,0,0.0006,0.0068533,0.00037468
0.925514,1.00E+07,351.49,0.074486,0,-0.0002,0.0038709,0.00037243
0.92724,1.00E+07,351.89,0.07276,0,0.0006,0.0097841,0.0003638
0.927652,1.00E+07,351.72,0.072348,0,0.0002,0.004353,0.00036174
0.928032,1.00E+07,351.31,0.071968,0,-0.0002,0.003632,0.00035984
0.929296,1.00E+07,352.24,0.070704,0,0.0006,0.0065964,0.00035352
0.93077,1.00E+07,351.54,0.06923,0,0.0002,0.0041112,0.00034615
0.930878,1.00E+07,351.15,0.069122,0,-0.0002,0.0033945,0.00034561
0.932932,1.00E+07,352.16,0.067068,0,0.0006,0.006341,0.00033534
0.934912,1.00E+07,351.69,0.065088,0,0.0006,0.01006,0.00032544
0.935038,1.00E+07,351.31,0.064962,0,0.0002,0.0038709,0.00032481
0.93518,1.00E+07,351.54,0.06482,0,-0.0002,0.012917,0.0003241
0.935474,1.00E+07,351.53,0.064526,0,0.0002,0.012917,0.00032263
0.935978,1.00E+07,350.92,0.064022,0,-0.0002,0.0031585,0.00032011
0.937178,1.00E+07,352.05,0.062822,0,0.0006,0.0060872,0.00031411
0.937964,1.00E+07,351.79,0.062036,0,-0.0006,0.0055842,0.00031018
0.938126,1.00E+07,351.76,0.061874,0,-0.0006,0.005835,0.00030937
0.939928,1.00E+07,351.77,0.060072,0,-0.0006,0.005335,0.00030036
0.939962,1.00E+07,351.07,0.060038,0,0.0002,0.003632,0.00030019
0.940838,1.00E+07,351.67,0.059162,0,-0.0006,0.0060872,0.00029581
0.941934,1.00E+07,351.92,0.058066,0,0.0006,0.005835,0.00029033
0.941944,1.00E+07,351.75,0.058056,0,-0.0006,0.0050873,0.00029028
0.942702,1.00E+07,351.74,0.057298,0,-0.0006,0.004841,0.00028649
0.944022,1.00E+07,351.72,0.055978,0,-0.0006,0.0045963,0.00027989
0.944158,1.00E+07,350.86,0.055842,0,0.0002,0.0033945,0.00027921
0.945382,1.00E+07,350.57,0.054618,0,-0.0002,0.0029239,0.00027309
0.945678,1.00E+07,351.55,0.054322,0,-0.0006,0.006341,0.00027161
0.94624,1.00E+07,351.81,0.05376,0,0.0006,0.0055842,0.0002688
0.946428,1.00E+07,351.66,0.053572,0,-0.0006,0.004353,0.00026786
0.946716,1.00E+07,351.42,0.053284,0,0.0006,0.010338,0.00026642
0.948564,1.00E+07,351.6,0.051436,0,-0.0006,0.0041112,0.00025718
0.948586,1.00E+07,350.65,0.051414,0,0.0002,0.0031585,0.00025707
0.949906,1.00E+07,351.71,0.050094,0,0.0006,0.005335,0.00025047
0.95048,1.00E+07,351.55,0.04952,0,-0.0006,0.0038709,0.0002476
0.951954,1.00E+07,351.4,0.048046,0,-0.0006,0.0065964,0.00024023
0.952142,1.00E+07,351.51,0.047858,0,-0.0006,0.003632,0.00023929
0.952954,1.00E+07,351.5,0.047046,0,-0.0006,0.0095096,0.00023523
0.953334,1.00E+07,351.5,0.046666,0,-0.0006,0.0097841,0.00023333
0.95347,1.00E+07,351.62,0.04653,0,0.0006,0.0050873,0.00023265
0.953696,1.00E+07,351.47,0.046304,0,-0.0006,0.0033945,0.00023152
0.953754,1.00E+07,351.48,0.046246,0,-0.0006,0.0092366,0.00023123
0.954934,1.00E+07,350.4,0.045066,0,0.0002,0.0029239,0.00022533
0.955058,1.00E+07,351.45,0.044942,0,-0.0006,0.0089654,0.00022471
0.955096,1.00E+07,351.47,0.044904,0,-0.0006,0.01006,0.00022452
0.955164,1.00E+07,350.24,0.044836,0,-0.0002,0.0026907,0.00022418
0.956356,1.00E+07,351.42,0.043644,0,-0.0006,0.0086957,0.00021822
0.957016,1.00E+07,351.39,0.042984,0,-0.0006,0.0031585,0.00021492
0.957384,1.00E+07,351.51,0.042616,0,0.0006,0.004841,0.00021308
